FREQUENCY (MHz)),LOSS (dB),
3244,-8.196011973,
3248,-8.181313243,
3252,-8.169554259,
3256,-8.193072227,
3260,-8.253051406,
3264,-8.245987656,
3268,-8.17984337,
3272,-8.207770957,
3276,-8.245987656,
3280,-8.251867148,
3284,-8.229084116,
3288,-8.307722323,
3292,-8.287144101,
3296,-8.248927402,
3300,-8.325360799,
3304,-8.290083847,
3308,-8.278324863,
3312,-8.336384847,
3316,-8.296698275,
3320,-8.38415572,
3324,-8.397098962,
3328,-8.417677184,
3332,-8.287144101,
3336,-8.329484803,
3340,-8.485576959,
3344,-8.434131403,
3348,-8.361822009,
3352,-8.39885445,
3356,-8.359902815,
3360,-8.27950912,
3364,-8.378276228,
3368,-8.395914704,
3372,-8.320665565,
3376,-8.357698006,
3380,-8.342264339,
3384,-8.338589656,
3388,-8.375336482,
3392,-8.407673688,
3396,-8.337119783,
3400,-8.303312704,
3404,-8.363577498,
3408,-8.422372419,
3412,-8.410613435,
3416,-8.366517244,
3420,-8.48116734,
3424,-8.437071149,
3428,-8.450014391,
3432,-8.478227594,
3436,-8.416492927,
3440,-8.479697467,
3444,-8.563480229,
3448,-8.585528324,
3452,-8.554660991,
3456,-8.595817435,
3460,-8.554660991,
3464,-8.499540752,
3468,-8.560540483,
3472,-8.625664217,
3476,-8.566419975,
3480,-8.554660991,
3484,-8.62227515,
3488,-8.639913626,
3492,-8.491170835,
3496,-8.625214896,
3500,-8.585528324,
3504,-8.52526353,
3508,-8.557600737,
3512,-8.598757181,
3516,-8.54702601,
3520,-8.62007034,
3524,-8.613455912,
3528,-8.542902007,
3532,-8.542902007,
3536,-8.551721245,
3540,-8.609781229,
3544,-8.595817435,
3548,-8.60757642,
3552,-8.584058451,
3556,-8.57642347,
3560,-8.648732864,
3564,-8.698708547,
3568,-8.707527785,
3572,-8.634034134,
3576,-8.738395119,
3580,-8.664166531,
3584,-8.613455912,
3588,-8.760443214,
3592,-8.642853372,
3596,-8.657552102,
3600,-8.69797361,
3604,-8.737660182,
3608,-8.692829055,
3612,-8.701648293,
3616,-8.341978723,
3620,-8.757503468,
3624,-8.793964678,
3628,-8.82924163,
3632,-8.783961182,
3636,-8.775141944,
3640,-8.817482646,
3644,-8.795720166,
3648,-8.848635595,
3652,-8.939767723,
3656,-8.841000615,
3660,-8.757503468,
3664,-8.822177881,
3668,-8.811603154,
3672,-8.825117627,
3676,-8.96769531,
3680,-9.043843092,
3684,-8.939767723,
3688,-8.883177611,
3692,-9.080875533,
3696,-9.027960104,
3700,-8.990927663,
3704,-9.087939282,
3708,-8.876277567,
3712,-8.880972802,
3716,-8.969165183,
3720,-8.897876341,
3724,-8.922129246,
3728,-9.047068453,
3732,-9.024734742,
3736,-8.986803659,
3740,-9.007831203,
3744,-8.92625325,
3748,-8.886852294,
3752,-8.883912548,
3756,-8.892731786,
3760,-8.898611278,
3764,-8.883912548,
3768,-8.960345945,
3772,-8.96990012,
3776,-8.980924167,
3780,-9.025020358,
3784,-8.977984421,
3788,-9.010321628,
3792,-9.06029731,
3796,-9.09675852,
3800,-9.010321628,
3804,-9.077935787,
3808,-9.107333247,
3812,-9.039719088,
3816,-9.1426102,
3820,-9.114396997,
3824,-9.192585882,
3828,-9.15730893,
3832,-9.17200766,
3836,-9.280778264,
3840,-9.166128168,
3844,-9.318994962,
3848,-9.404247598,
3852,-9.234477264,
3856,-9.201405121,
3860,-9.182011156,
3864,-9.172742597,
3868,-9.134975219,
3872,-9.338838248,
3876,-9.210224359,
3880,-9.201405121,
3884,-9.201405121,
3888,-9.274898772,
3892,-9.257260295,
3896,-9.254320549,
3900,-9.254320549,
3904,-9.133790962,
3908,-9.201405121,
3912,-9.271959026,
3916,-9.235947137,
3920,-9.175682343,
3924,-9.277838518,
3928,-9.260200042,
3932,-9.163188422,
3936,-9.286657756,
3940,-9.266079534,
3944,-9.140854711,
3948,-9.307235978,
3952,-9.36162128,
3956,-9.390283804,
3960,-9.318994962,
3964,-9.340308121,
3968,-9.330753947,
3972,-9.274898772,
3976,-9.333693693,
3980,-9.31311547,
3984,-9.289597502,
3988,-9.451283534,
3992,-9.474801503,
3996,-9.36382609,
4000,-9.428500503,
4004,-9.45422328,
4008,-9.396163296,
4012,-9.380729629,
4016,-9.465982265,
4020,-9.445404042,
4024,-9.407187344,
4028,-9.445404042,
4032,-9.433645058,
4036,-9.398368106,
4040,-9.357211661,
4044,-9.486560487,
4048,-9.460102773,
4052,-9.539475916,
4056,-9.643101964,
4060,-9.47333163,
4064,-9.498319471,
4068,-9.595331091,
4072,-9.566668567,
4076,-9.495379725,
4080,-9.589451599,
4084,-9.621788805,
4088,-9.539475916,
4092,-9.601945519,
4096,-9.621788805,
4100,-9.585776916,
4104,-9.58063236,
4108,-9.751137631,
4112,-9.657800694,
4116,-9.595331091,
4120,-9.616644249,
4124,-9.75554725,
4128,-9.633547789,
4132,-9.654126012,
4136,-9.610029821,
4140,-9.607090075,
4144,-9.689402964,
4148,-9.645306773,
4152,-9.645306773,
4156,-9.712185996,
4160,-9.718800425,
4164,-9.689402964,
4168,-9.768776107,
4172,-9.842269758,
4176,-9.776860409,
4180,-9.827571028,
4184,-9.886365949,
4188,-9.85035406,
4192,-9.780535091,
4196,-9.906944171,
4200,-9.924582648,
4204,-9.798173568,
4208,-9.92825733,
4212,-9.868727473,
4216,-9.845209504,
4220,-9.898124933,
4224,-10.10978665,
4228,-9.937076568,
4232,-9.934586143,
4236,-10.00248592,
4240,-10.0745097,
4244,-9.951040362,
4248,-10.00836541,
4252,-9.980437823,
4256,-10.00983528,
4260,-10.06128084,
4264,-10.1450636,
4268,-10.06569046,
4272,-10.15094309,
4276,-10.26089795,
4280,-10.24501497,
4284,-10.21120789,
4288,-10.31630381,
4292,-10.31850862,
4296,-10.1874043,
4300,-10.24428003,
4304,-10.15976233,
4308,-10.22443674,
4312,-10.27294255,
4316,-10.2920509,
4320,-10.4831344,
4324,-10.38612278,
4328,-10.53898957,
4332,-10.43021897,
4336,-10.42139973,
4340,-10.57132678,
4344,-10.51665586,
4348,-10.63600119,
4352,-10.55662805,
4356,-10.53311008,
4360,-10.53017033,
4364,-10.49709819,
4368,-10.58896525,
4372,-10.54017383,
4376,-10.71610927,
4380,-10.70949484,
4384,-10.66878772,
4388,-10.83222924,
4392,-10.781233,
4396,-10.57324597,
4400,-10.76535002,
4404,-10.81826545,
4408,-10.61954697,
4412,-10.69304062,
4416,-10.65363967,
4420,-10.72125383,
4424,-10.61542297,
4428,-10.75477529,
4432,-10.65069992,
4436,-10.65363967,
4440,-10.78298849,
4444,-10.73521762,
4448,-10.76020546,
4452,-10.81091608,
4456,-10.75771504,
4460,-10.78151862,
4464,-10.69479611,
4468,-10.67025759,
4472,-10.69185637,
4476,-10.79180773,
4480,-10.75624516,
4484,-10.69185637,
4488,-10.7006756,
4492,-10.73713681,
4496,-10.83590392,
4500,-10.65510954,
4504,-10.72419357,
4508,-10.78592824,
4512,-10.69185637,
4516,-10.69479611,
4520,-10.6602541,
4524,-10.54486906,
4528,-10.6624589,
4532,-10.61836271,
4536,-10.60072424,
4540,-10.65510954,
4544,-10.72419357,
4548,-10.7388923,
4552,-10.67348295,
4556,-10.60660373,
4560,-10.73595256,
4564,-10.62424221,
4568,-10.6683384,
4572,-10.65363967,
4576,-10.6080736,
4580,-10.60145917,
4584,-10.71831408,
4588,-10.61248322,
4592,-10.61027841,
4596,-10.57545078,
4600,-10.5536883,
4604,-10.70361535,
4608,-10.66319384,
4612,-10.58529057,
4616,-10.44418276,
4620,-10.52723059,
4624,-10.5698569,
4628,-10.5294354,
4632,-10.58602551,
4636,-10.45079719,
4640,-10.50371262,
4644,-10.61027841,
4648,-10.62424221,
4652,-10.64555537,
4656,-10.52429084,
4660,-10.49489338,
4664,-10.48754402,
4668,-10.59484475,
4672,-10.51371611,
4676,-10.57839053,
4680,-10.591905,
4684,-10.52429084,
4688,-10.49195363,
4692,-10.59778449,
4696,-10.5093065,
4700,-10.49489338,
4704,-10.58308576,
4708,-10.53723408,
4712,-10.65657941,
4716,-10.7065551,
4720,-10.62718195,
4724,-10.65657941,
4728,-10.74183205,
4732,-10.70361535,
4736,-10.4328731,
4740,-10.70949484,
4744,-10.72419357,
4748,-10.70185986,
4752,-10.80769072,
4756,-10.90645783,
4760,-10.76653427,
4764,-10.69598037,
4768,-10.7871125,
4772,-10.69304062,
4776,-10.80769072,
4780,-10.75359103,
4784,-10.71537433,
4788,-10.54899307,
4792,-10.70435029,
4796,-10.7388923,
4800,-10.70214548,
4804,-10.67127814,
4808,-10.67025759,
4812,-10.72198876,
4816,-10.7065551,
4820,-10.75359103,
4824,-10.7065551,
4828,-10.79768722,
4832,-10.79768722,
4836,-10.72786825,
4840,-10.82561481,
4844,-10.8917591,
4848,-10.85648214,
4852,-10.84766291,
4856,-10.90057833,
4860,-10.91058183,
4864,-10.95643351,
4868,-10.88293986,
4872,-10.962313,
4876,-11.02404767,
4880,-11.06373424,
4884,-11.03699091,
4888,-11.10048107,
4892,-10.75653078,
4896,-10.72243808,
4900,-10.79474748,
4904,-10.93116005,
4908,-10.81238595,
4912,-10.76947402,
4916,-11.04168614,
4920,-11.08578234,
4924,-11.0046537,
4928,-11.0166983,
4932,-10.99877421,
4936,-10.94291904,
4940,-11.34741973,
4944,-11.26510684,
4948,-11.26041161,
4952,-11.08578234,
4956,-11.20043243,
4960,-10.91233732,
4964,-10.94585878,
4968,-11.02110792,
4972,-11.14163751,
4976,-10.99465021,
4980,-10.99171046,
4984,-11.10342081,
4988,-11.02229218,
4992,-10.95643351,
4996,-11.17397472,
5000,-11.09137621,
5004,-10.89294335,
5008,-11.1857337,
5012,-11.19161319,
5016,-11.0931317,
5020,-11.24452862,
5024,-11.09460157,
5028,-11.1151798,
5032,-11.17103497,
5036,-11.25702254,
5040,-11.14457726,
5044,-11.10342081,
5048,-11.23101415,
5052,-11.09284608,
5056,-11.25040811,
5060,-11.17985421,
5064,-11.19353239,
5068,-11.1857337,
5072,-11.19528788,
5076,-11.2361587,
5080,-11.08284259,
5084,-11.13869776,
5088,-11.16339999,
5092,-11.12665316,
5096,-11.05638487,
5100,-11.12812304,
5104,-11.2239504,
5108,-11.06226437,
5112,-11.13281827,
5116,-11.21807091,
5120,-11.06226437,
5124,-11.09460157,
5128,-11.02992716,
5132,-11.07667748,
5136,-11.06520411,
5140,-11.18397821,
5144,-10.99905983,
5148,-11.03111142,
5152,-11.14090257,
5156,-11.07328841,
5160,-11.10342081,
5164,-11.20749618,
5168,-11.17985421,
5172,-11.05932462,
5176,-11.25334786,
5180,-11.10048107,
5184,-11.07990284,
5188,-11.04654508,
5192,-10.97333705,
5196,-10.99758995,
5200,-11.15164101,
5204,-10.99877421,
5208,-11.00346945,
5212,-11.21337567,
5216,-11.09211115,
5220,-11.08284259,
5224,-11.10048107,
5228,-11.13694228,
5232,-11.15339649,
5236,-11.15164101,
5240,-11.26510684,
5244,-11.06344862,
5248,-11.21219142,
5252,-11.21807091,
5256,-11.0769631,
5260,-11.31920653,
5264,-11.1093003,
5268,-11.19749269,
5272,-11.38388094,
5276,-11.31802227,
5280,-11.36505821,
5284,-11.41621815,
5288,-11.31802227,
5292,-11.36505821,
5296,-11.24673343,
5300,-11.35329923,
5304,-11.04168614,
5308,-11.06520411,
5312,-11.05638487,
5316,-11.31728734,
5320,-11.44561561,
5324,-11.47207332,
5328,-11.46794932,
5332,-11.48383231,
5336,-11.42385313,
5340,-11.50028653,
5344,-11.45325059,
5348,-11.43855186,
5352,-11.44590123,
5356,-11.50322627,
5360,-11.37800145,
5364,-11.51498526,
5368,-11.52674424,
5372,-11.47676856,
5376,-11.49661185,
5380,-11.51204551,
5384,-11.54189229,
5388,-11.67961104,
5392,-11.53041892,
5396,-11.60215709,
5400,-11.60023789,
5404,-11.65315332,
5408,-11.5238045,
5412,-11.65903281,
5416,-11.58553916,
5420,-11.50028653,
5424,-11.53380799,
5428,-11.60023789,
5432,-11.61318113,
5436,-11.6366991,
5440,-11.67373154,
5444,-11.69255428,
5448,-11.69843377,
5452,-11.54144297,
5456,-11.84129707,
5460,-11.72342161,
5464,-11.72195174,
5468,-11.75898418,
5472,-11.8721644,
5476,-11.57790418,
5480,-11.68079529,
5484,-11.97652539,
5488,-11.85644512,
5492,-11.76016844,
5496,-11.89715224,
5500,-11.78544189,
5504,-11.90009199,
5508,-11.8398272,
5512,-11.8802487,
5516,-11.68961453,
5520,-11.91303523,
5524,-11.97770964,
5528,-12.15703415,
5532,-12.14527517,
5536,-12.20994958,
5540,-12.0129866,
5544,-11.94537244,
5548,-11.86922466,
5552,-11.93830869,
5556,-12.42042704,
5560,-12.27756374,
5564,-12.18643161,
5568,-12.39221384,
5572,-12.34738271,
5576,-12.44908956,
5580,-12.3733911,
5584,-12.32753942,
5588,-12.27637948,
5592,-12.30034677,
5596,-12.30871669,
5600,-12.27931923,
5604,-12.13057644,
5608,-12.36281638,
5612,-12.23934704,
5616,-12.14115117,
5620,-12.18524736,
5624,-12.50098444,
5628,-12.42336679,
5632,-12.44512927,
5636,-12.4216113,
5640,-12.38633434,
5644,-12.41279206,
5648,-12.52772777,
5652,-12.57917333,
5656,-12.36575612,
5660,-12.64678749,
5664,-12.63327301,
5668,-12.56565885,
5672,-12.59166725,
5676,-12.59093231,
5680,-12.72616063,
5684,-12.88784666,
5688,-12.72440514,
5692,-12.80259403,
5696,-12.81802769,
5700,-12.82435651,
5704,-12.93312711,
5708,-12.95076559,
5712,-13.01250025,
5716,-12.91842838,
5720,-13.09068914,
5724,-13.15609849,
5728,-13.21709822,
5732,-13.27295339,
5736,-13.27589314,
5740,-13.27883288,
5744,-13.40230222,
5748,-13.37114927,
5752,-13.35939029,
5756,-13.36233003,
5760,-13.59530491,
5764,-13.5992652,
5768,-13.55782314,
5772,-13.47110064,
5776,-13.45521765,
5780,-13.77683422,
5784,-13.55810876,
5788,-13.70509606,
5792,-13.79622819,
5796,-13.71509956,
5800,-13.69113227,
5804,-13.77564997,
5808,-13.93366132,
5812,-13.71979479,
5816,-13.81092692,
5820,-13.95909848,
5824,-13.8609026,
5828,-13.97261295,
5832,-13.84767374,
5836,-13.91161322,
5840,-14.10563646,
5844,-14.11078102,
5848,-14.27026224,
5852,-14.21367213,
5856,-14.40769537,
5860,-14.18251918,
5864,-14.3760931,
5868,-14.4767794,
5872,-14.27659105,
5876,-14.43709283,
5880,-14.51471048,
5884,-14.69873022,
5888,-14.70166997,
5892,-14.6399353,
5896,-14.94685315,
5900,-15.19554731,
5904,-15.16100529,
5908,-15.36899232,
5912,-15.35135385,
5916,-15.43660648,
5920,-15.54537709,
5924,-15.59829251,
5928,-15.77586153,
5932,-15.73764484,
5936,-16.39026846,
5940,-15.89300206,
5944,-15.94783668,
5948,-16.02014607,
5952,-16.11274807,
5956,-16.28737735,
5960,-16.66072509,
5964,-16.65954084,
5968,-16.73642355,
5972,-16.65219147,
5976,-16.53901125,
5980,-16.56959297,
5984,-16.86826281,
5988,-16.81240763,
5992,-16.45669836,
5996,-16.70363703,
6000,-17.01643437,
